Bin,Frequency_Hz,Power
974,3804.69,0.031953
975,3808.59,0.029476
976,3812.50,0.030700
977,3816.41,0.030168
978,3820.31,0.029214
979,3824.22,0.036195
980,3828.12,0.031894
981,3832.03,0.035228
982,3835.94,0.036838
983,3839.84,0.033420
984,3843.75,0.030913
985,3847.66,0.033681
986,3851.56,0.031932
987,3855.47,0.031583
988,3859.38,0.028323
989,3863.28,0.029913
990,3867.19,0.027794
991,3871.09,0.027296
992,3875.00,0.027265
993,3878.91,0.026342
994,3882.81,0.022984
995,3886.72,0.022906
996,3890.62,0.023855
997,3894.53,0.023977
998,3898.44,0.023178
999,3902.34,0.023283
1000,3906.25,0.022630
1001,3910.16,0.023237
1002,3914.06,0.027110
1003,3917.97,0.025108
1004,3921.88,0.024027
1005,3925.78,0.025569
1006,3929.69,0.028751
1007,3933.59,0.021210
1008,3937.50,0.024421
1009,3941.41,0.022536
1010,3945.31,0.024807
1011,3949.22,0.029152
1012,3953.12,0.031323
1013,3957.03,0.025282
1014,3960.94,0.023065
1015,3964.84,0.026191
1016,3968.75,0.027621
1017,3972.66,0.023480
1018,3976.56,0.025351
1019,3980.47,0.022399
1020,3984.38,0.026200
1021,3988.28,0.026330
1022,3992.19,0.023581
1023,3996.09,0.021411
